제목,주소,위도,경도,컨텐츠
VERT Market,"광주 동구 선교로 45",35.0907050837348,126.951908774857,"감각적인 브랜드 셀러와 신진 크리에이터가 모이는 트렌디한 플리마켓입니다. 미니멀한 디자인의 패션 아이템과 라이프스타일 굿즈, 향 제품 등 취향 저격 아이템들이 큐레이션되어 있습니다. 음악, 전시, 포토존과 함께 도시적이고 세련된 분위기를 느끼고 싶은 분들에게 추천하는 마켓입니다."
맘스팡 프리마켓,"광주 광산구 임방울대로825번길 30",35.219432574823,126.84890717316,"엄마 셀러들이 직접 준비한 유아용품·아동복·육아용품을 중심으로 꾸며지는 패밀리 특화 플리마켓입니다. 사용감이 적은 육아템부터 핸드메이드 키즈 소품까지 알뜰한 상품이 많아 합리적인 쇼핑이 가능합니다. 아이들을 위한 체험 부스와 간단한 놀이 프로그램도 함께 운영되어 가족 나들이 코스로 인기입니다."
다과 플리마켓,"광주 서구 마재로 3",35.1308257267828,126.860323375607,"수제 디저트와 감성 찻잔, 테이블웨어, 카페 인테리어 소품이 중심이 되는 달콤한 플리마켓입니다. 베이킹을 취미로 하는 셀러부터 전문 디저트샵까지 다양한 참여자로 구성되어 눈과 입이 모두 즐겁습니다. 디저트와 함께 어울리는 소품을 고르고, 감성 가득한 사진도 남길 수 있는 티타임 콘셉트의 마켓입니다."
상생광산장터,"광주 광산구 첨단중앙로 160",35.2195270753685,126.842363554305,"광산구의 로컬 농산물과 소상공인 상품이 한데 모이는 상생형 장터입니다. 신선한 채소와 과일, 수제청, 전통 먹거리뿐 아니라 수공예품과 생활 소품까지 다양하게 준비됩니다. 지역 주민과 생산자가 직접 만나 이야기 나누며 믿고 살 수 있는 마켓이라 정기적으로 찾는 단골도 많습니다."
맘스팡 마켓 1차,"광주 북구 설죽로 490",35.2032081765857,126.899064292766,"북구에서 진행되는 1차 시즌형 패밀리 플리마켓으로, 육아용품과 키즈 패션을 중심으로 구성되어 있습니다. 합리적인 가격의 중고·새상품이 함께 있어 알뜰한 부모들에게 큰 호응을 얻고 있습니다. 아이들을 위한 체험 부스와 간단한 포토존도 준비되어 있어 부모와 아이 모두에게 즐거운 하루를 선사합니다."
맘스팡 마켓 2차,"광주 광산구 첨단강변로99번길 22",35.2167748780346,126.851917253723,"첨단지구에서 열리는 2차 시즌 마켓으로, 1차보다 더욱 다양한 키즈·패밀리 셀러들이 참여합니다. 육아정보를 공유하는 엄마 셀러들의 현실적인 꿀팁을 들을 수 있어 커뮤니티 기능도 강합니다. 산책로와 인접해 있어 마켓을 둘러본 뒤 주변을 함께 걷기에도 좋은 코스입니다."
동명동 ART Eco Tour Day,"광주 동구 동계천로 151-5",35.14919144397605,126.9256739653387,"동명동의 감성 골목과 예술, 친환경 콘셉트가 결합된 투어형 행사입니다. 골목 산책을 하며 예술 작품, 친환경 굿즈, 공정무역 상품을 동시에 만나볼 수 있습니다. 소규모 공연과 골목 해설 프로그램도 곁들여져, 동네 자체가 하나의 큰 문화 공간이 되는 날입니다."
다 어울림,"광주 북구 용봉로 105",35.172738298488,126.908332341665,"지역 주민·상인이 함께 만드는 북구 커뮤니티 플리마켓입니다. 생활 소품과 먹거리, 체험 부스를 통해 세대와 세대를 잇는 따뜻한 만남의 장을 지향합니다. 동네 주민들이 서로의 재능과 취미를 나누는 장이기도 해, 소규모 공연이나 재능기부 프로그램이 열리기도 합니다."
제 66회 광수방 친구마켓,"광주 광산구 사암로 172",35.16010251981197,126.80863529198074,"여러 회차를 거듭해 온 역사가 있는 친구마켓으로, 지역 공동체 기반의 소박하면서도 유쾌한 장터입니다. 수공예품, 생활용품, 먹거리 부스가 조화롭게 배치되어 이웃들과 마주 보고 이야기 나누기 좋은 분위기입니다. 회차를 거듭하며 단골 셀러와 단골 손님이 생길 정도로 정겨운 마켓입니다."
푸릇마켓,"광주 남구 도동길 142",35.0905522003278,126.882375228479,"푸릇푸릇한 제철 농산물과 건강한 식재료를 중심으로 한 자연친화 마켓입니다. 로컬 농부가 직접 가져온 채소·과일과 수제 잼, 발효식품 등을 만나볼 수 있어 건강한 식탁을 꾸리고 싶은 분들께 인기입니다. 친환경 생활용품과 업사이클 제품도 함께 판매되어 지속 가능한 라이프스타일을 제안합니다."
아시아 컬처마켓,"광주 동구 문화전당로 38",35.14679498241355,126.92040315985935,"아시아 각국의 문화와 음식, 공예품을 한자리에서 체험할 수 있는 다문화 플리마켓입니다. 다양한 국적의 셀러들이 참여해 이국적인 향신료, 전통 소품, 의상 등을 소개합니다. 공연·체험 프로그램이 함께 진행되어 마치 작은 월드페스티벌에 온 듯한 분위기를 느낄 수 있습니다."
1923 송정역시장 플리마켓,"광주 광산구 송정동 986-3",35.1361527712308,126.791800494939,"옛 정취가 가득한 송정역시장을 무대로 열리는 레트로 감성 플리마켓입니다. 오래된 간판과 골목 풍경을 배경으로 빈티지 소품, 중고 레코드, 수공예품이 어우러져 특별한 분위기를 만듭니다. 전통시장 먹거리까지 함께 즐기면 하루를 알차게 채울 수 있는 로컬 여행 코스가 됩니다."
문화장터 누리랑께,"광주 동구 구성로 257",35.1574133686661,126.918503187391,"공연·전시·플리마켓이 함께 열리는 복합 문화형 장터입니다. 로컬 아티스트의 공연과 시민 참여 프로그램, 다양한 셀러의 상품을 동시에 즐길 수 있어 축제 같은 분위기가 특징입니다. 아이부터 어르신까지 세대 불문하고 참여할 수 있어 가족 단위 나들이 장소로도 적합합니다."
첨단 보이저 마당 수공예 플리마켓,"광주 광산구 임방울대로826번길 19-20",35.21638680848848,126.84961926327114,"핸드메이드 작가들의 정성이 담긴 작품을 만날 수 있는 수공예 전문 플리마켓입니다. 도자기, 패브릭, 비누, 향초, 액세서리 등 다양한 카테고리의 작품이 준비되어 있어 선물 고르기에도 좋습니다. 작가와 직접 대화하며 제작 과정이나 관리 팁을 들을 수 있다는 점도 큰 매력입니다."
INFORE MARKET,"광주 동구 선교로 45",35.09075115924629,126.9519477883416,"브랜딩이 잘 된 셀러와 디자이너가 엄선한 패션·라이프스타일 제품을 선보이는 프리미엄 플리마켓입니다. 감각적인 의류와 가방, 향 제품, 인테리어 소품을 중심으로 큐레이션되어 있어 쇼룸을 둘러보는 듯한 경험을 제공합니다. 취향 있는 소비를 즐기는 이들에게 추천하는 세련된 도시형 마켓입니다."
충장로 플리마켓,"광주 동구 서석로 43",35.146798580475,126.918226253275,"충장로 일대를 산책하며 자연스럽게 들를 수 있는 도심 거리형 플리마켓입니다. 각양각색의 셀러 부스와 버스킹 공연이 어우러져 걷는 것만으로도 재미있는 코스가 됩니다. 쇼핑과 구경, 거리 공연 감상이 한 번에 가능한 핫플레이스형 행사입니다."
충장로 도깨비 장터,"광주 동구 충장로4가 59",35.14963235946458,126.91429866762867,"도깨비 시장 콘셉트로 꾸며진 개성 넘치는 야외 장터입니다. 형형색색의 조명과 장식, 특별한 이벤트 덕분에 사진 찍기 좋은 포인트가 많습니다. 밤이 깊어질수록 흥이 올라가는 따뜻한 노천 장터 분위기를 느낄 수 있습니다."
동명동 예술골목 플리마켓,"광주 동구 동계천로 150",35.14847504372861,126.9259709195618,"동명동 예술골목을 무대로 열리는 감성 플리마켓입니다. 아기자기한 카페와 골목 풍경 사이로 셀러 부스가 이어져 산책하듯 둘러보기에 좋습니다. 예술작품, 소품, 독립출판물 등을 함께 만나볼 수 있어 취향 있는 시민들에게 사랑받고 있습니다."
유스퀘어 소상공인 플리마켓,"광주 서구 무진대로 904",35.160849349771105,126.8793837404077,"터미널과 쇼핑시설이 모인 유스퀘어 공간을 활용한 소상공인 지원 플리마켓입니다. 지역의 다양한 상점과 셀러가 참여해 일상에서 필요한 실용적인 상품부터 개성 있는 수공예품까지 선보입니다. 이동 중에 가볍게 들러 구경하고 구매하기 좋아 접근성이 뛰어난 것이 장점입니다."
동명동 플리마켓 8월 2차,"광주 동구 동명동 68-66",35.14935155814841,126.92587410065936,"여름 시즌 동안 동명동에서 두 차례 진행되는 플리마켓 중 2차 행사입니다. 1차보다 조금 더 확장된 셀러 구성과 특별 이벤트가 준비되어 있어 재방문할 이유를 만들어 줍니다. 카페와 골목 여행을 함께 즐기며 계절감을 만끽하기 좋은 마켓입니다."
동명동 플리마켓 8월 1차,"광주 동구 동명동 72-37",35.14895716591057,126.92579763860087,"8월을 시작하는 동명동의 첫 시즌 플리마켓으로, 감성 셀러들의 핸드메이드 소품과 패션 아이템이 중심입니다. 골목마다 숨어 있는 카페와 함께 코스로 즐기면 하루가 금세 지나갑니다. 동네 특유의 여유롭고 차분한 분위기를 좋아하는 분들께 추천합니다."
동명동 골목길 음악산책,"광주 동구 동명동 72-37",35.14900716591057,126.92584763860087,"골목길 산책과 라이브 음악, 플리마켓이 결합된 복합 문화 프로그램입니다. 작은 버스킹 무대와 셀러 부스가 골목 곳곳에 자리해 산책하는 내내 새로운 풍경을 마주하게 됩니다. 음악과 함께하는 감성적인 저녁 시간을 보내고 싶은 분들에게 어울리는 행사입니다."
동명동 능소화 포토스팟,"광주 동구 동명동 72-37",35.14915523277788,126.92541884648612,"능소화가 피어나는 계절에 맞춰 운영되는 포토존 중심 플리마켓입니다. 꽃길을 배경으로 사진을 찍고, 주변 셀러 부스에서 소품과 액세서리를 구매하며 추억을 남길 수 있습니다. 계절감이 살아 있는 로맨틱한 공간 연출이 특징입니다."
브리즈 마켓,"광주 서구 치평동 1159-2",35.146793809560315,126.83958277976974,"이름처럼 산들바람 부는 날의 감성을 담은 플리마켓입니다. 미니멀한 디자인 소품과 감성 패브릭, 향 제품 등 부드러운 무드를 가진 상품들이 주를 이룹니다. 조용히 둘러보며 나만의 작은 취향을 발견하기 좋은 힐링형 마켓입니다."
그 겨울의 플리마켓,"광주 동구 동계천로 150",35.14810305276645,126.92567769849637,"겨울 시즌 한정으로 열리는 감성 플리마켓으로, 따뜻한 조명과 장식이 인상적입니다. 니트, 목도리, 핫초코, 겨울 향초 등 계절과 어울리는 굿즈들이 가득합니다. 추운 날씨 속에서도 마음만은 포근해지는 연말 분위기를 느껴볼 수 있습니다."
희망나눔 소상공인 플리마켓,"광주 북구 충효동 908",35.1849350804892,126.999934125514,"북구 지역 소상공인과 주민이 함께 만드는 상생형 플리마켓입니다. 판매 수익 일부를 기부하거나, 취약계층을 돕는 연계 프로그램을 운영하는 등 나눔의 의미를 담고 있습니다. 쇼핑을 하면서 자연스럽게 좋은 일에도 동참할 수 있는 따뜻한 장터입니다."
라이콘 플리마켓,"광주 서구 상무중앙로 24",35.1489150509579,126.848893211784,"상무지구의 젊은 상권을 배경으로 열리는 트렌디 플리마켓입니다. 패션, 소품, 디자인 굿즈 등 감각적인 아이템들이 다수 포진해 있어 MZ세대에게 특히 인기입니다. 주변 맛집과 카페를 함께 즐길 수 있어 하루 코스로도 만족도가 높습니다."
전일빌딩 플리마켓,"광주 동구 금남로 245",35.148358093992,126.918730053407,"도심 문화공간 전일빌딩245와 연계해 열리는 복합형 플리마켓입니다. 건물의 역사성과 현대적인 전시·문화공간이 어우러져 독특한 분위기를 만들어냅니다. 실내·외 부스를 함께 활용해 날씨와 상관없이 쾌적하게 쇼핑할 수 있다는 점도 장점입니다."
시민의날 생일컨셉 플리마켓,"광주 서구 내방로 111",35.159411411294926,126.85080804008108,"시민의 날을 기념해 도시 전체를 하나의 생일 파티처럼 꾸미는 콘셉트의 플리마켓입니다. 생일 케이크 모티브 장식과 포토존, 기념 이벤트가 곳곳에 배치되어 축제 같은 분위기를 즐길 수 있습니다. 시민이 주인공이 되는 날인 만큼 참여 프로그램도 다양하게 마련됩니다."
Winter CheckIn 플리마켓,"광주 남구 중앙로107번길 15",35.1470732343041,126.910095678933,"체크인 시리즈의 겨울 에디션으로, 따뜻한 조명과 겨울 소품으로 꾸며진 감성 플리마켓입니다. 니트, 머플러, 겨울 음료 등 계절감 가득한 상품들이 주를 이룹니다. 포근한 인테리어와 함께 사진 찍기 좋은 스팟도 많아 연말 나들이 장소로 좋습니다."
송정역시작 플리마켓 with 난장콘서트,"광주 광산구 송정동 859-5",35.13601599862704,126.79225214144901,"송정역 일대에서 열리는 플리마켓과 라이브 콘서트가 결합된 복합 행사입니다. 시장 상인과 셀러, 뮤지션이 함께 만들어가는 축제 분위기가 특징입니다. 기차역과 전통시장을 함께 둘러보며 하루 여행처럼 즐길 수 있는 매력적인 로컬 행사입니다."
Awesome CheckIn 플리마켓,"광주 남구 중앙로107번길 15",35.14704511480536,126.91013406403097,"감각적인 셀러와 힙한 음악이 어우러진 체크인 시리즈의 대표 플리마켓입니다. 스트리트 감성의 패션과 굿즈, 포토존이 가득해 젊은 층에게 큰 사랑을 받습니다. 행사장 곳곳에 준비된 체크인 포인트를 돌며 자신만의 기록을 남기는 재미도 쏠쏠합니다."
Summer CheckIn 플리마켓,"광주 남구 중앙로107번길 15",35.147197441046,126.90948911877504,"여름 감성에 맞춘 청량한 분위기의 시즌 한정 플리마켓입니다. 시원한 컬러의 패션 아이템과 비치 굿즈, 아이스 음료 등이 준비되어 무더위를 잊게 해줍니다. 야외 포토존과 밤까지 이어지는 프로그램 덕분에 여름밤 나들이 코스로도 인기입니다."
Spring CheckIn 플리마켓,"광주 남구 중앙로107번길 15",35.14710493469361,126.90933284179333,"꽃과 파스텔 톤 장식으로 꾸며진 봄 시즌 플리마켓입니다. 봄맞이 패션, 플라워 소품, 홈데코 아이템들이 가득해 새 계절을 준비하기에 좋습니다. 따스한 햇살 아래 체크인 스탬프를 모으며 추억을 남길 수 있는 감성 행사입니다."
Awesome CheckIn 파티(광주창조경제혁신센터),"광주 남구 중앙로107번길 15",35.147031112491545,126.90953661479814,"체크인 브랜드를 중심으로 한 파티형 플리마켓으로, DJ 음악과 라이트업 연출이 돋보입니다. 셀러 부스와 함께 네트워킹, 토크, 미니 공연이 어우러져 색다른 야간 문화를 즐길 수 있습니다. 창조경제혁신센터와 연계되어 창업·브랜딩에 관심 있는 이들에게도 의미 있는 자리입니다."
Summer CheckIn 파티,"광주 남구 중앙로107번길 15",35.14686638752228,126.90975286038464,"여름밤의 분위기를 극대화한 파티형 플리마켓으로, 시원한 음악과 조명이 공간 전체를 채웁니다. 칵테일·무알콜 음료, 여름 콘셉트 푸드와 함께 가볍게 춤추고 즐길 수 있는 축제형 행사입니다. 친구들과 잊지 못할 여름밤 추억을 만들고 싶을 때 찾기 좋은 핫한 파티입니다."
